chapterName,greekLetter,year,school,locationC,locationS,Notes,website,ig,fb,letterImg
alpha,&Alpha,1913,Howard University,Washington ,DC,,howard.edu,https://www.instagram.com/alphachapterdst/?hl=en,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Greek_uc_alpha.svg/1200px-Greek_uc_alpha.svg.png
beta,&Beta,1914,Wilberforce University,Wilberforce,OH,Home of the Beta Hymn,https://wilberforce.edu/wilberforce-national-pan-hellenic-council-nphc/,https://www.instagram.com/dst_beta1914/?hl=en,https://www.facebook.com/dstinc1913/photos/wilberforce-university-located-in-ohio-and-home-of-the-sororitys-beta-chapter-wa/1292759534159517/,https://images-na.ssl-images-amazon.com/images/I/51U8vKtXN6L._AC_SY355_.jpg
gamma,&Gamma,1918,University of Pennsylvania,Philadelphia,PA,First Delta Chapter Chartered at an Ivy League University,https://www.dstgamma.com/,,https://www.facebook.com/dstgamma/,https://upload.wikimedia.org/wikipedia/commons/d/d8/Greek_uc_gamma.png
delta,&Delta,1919,University of Iowa,Iowa City,IA,First Delta house,https://uiowa.campuslabs.com/engage/organization/delta-sigma-theta,https://www.instagram.com/deltachapterdst/,https://www.facebook.com/uiowadsp/,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Greek_uc_delta.svg/1200px-Greek_uc_delta.svg.png'
epsilon,&Epsilon,1919,Ohio State University,Columbus,OH,,,,https://www.facebook.com/Delta-Sigma-Theta-Sorority-Inc-Epsilon-Chapter-150008361740143/,
zeta,&Zeta,1920,University of Cincinnati,Cincinnati,OH,,https://www.zetachapterdst.org/,https://www.instagram.com/zetadst/,https://www.facebook.com/zetaDST/,
eta (Original),&Eta,1920,Syracuse University,Syracuse,NY,,,,,
eta,&Eta,1944,Fort Valley State University,Fort Vally,GA,,,,,
theta (Orginial),&Theta,1920,Cornell University,Ithaca,NY,,https://cornell.campusgroups.com/dst/home/,,,
theta,&Theta,1946,Duquesne University,Pittsburgh,PA,,,,,
iota,&Iota,1921,Boston City Wade,Boston,MA,First chapter of any Black sorority in the New England area,,https://www.instagram.com/iotachapterdeltas/?hl=en,https://www.facebook.com/iotachapterdeltas/,
kappa,&Kappa,1921,University of California - Berkeley,Berkeley,CA,The first chapter of any Black Greek Lettered Organization to be Chartered west of the Rocky Mountains,,,,
lambda,&Lambda,1921,Chicago City-Wide,Chicago,IL,Designed Sorority Crest.,,,,
mu,&Mu,1921,University of Pittsburgh,Pittsburgh,PA,,,,,
nu,&Nu,1921,University of Michigan,Ann Arbor,MI,First Sorority at University of Michigan/ First Delta Chapter in Michigan.,,,,
xi,&Xi,1922,University of Louisville,Louisville,KY,First Delta chapter chartered in Kentucky.,,,,
omicron,&Omicron,1922,University of Nebraska-Lincoln,Lincoln,NE,,,,,
pi,&Pi,1923,University of California - Los Angeles,Los Angeles,CA,First Greek lettered organization established at UCLA.,,,,
rho,&Rho,1923,Clark Atlanta University,Atlanta,GA,,,,,
sigma,&Sigma,1924,Wayne State University,Detroit,MI,"Celebrates on May 6, 1931",,,,
tau,&Tau,1924,University of Southern California,Los Angeles,CA,First Sorority charted at Wayne State University.,,,,
phi,&Phi,1923,Iowa State University/ Drake University,Ames,IA,,,,,
chi,&Chi,1925,Indianapolis City-Wide,Indianapolis,IN,,,,,
psi,&Psi,1925,University of Kansas,Lawrence,KS,,,,,
omega,&Omega,1925,Cleveland City Wide,Cleveland,OH,Chapter is retired.,,,,
